product_id,name,description,price,currency,category,brand,image_url,availability,condition,amazon_url,custom_label_1,custom_label_2
B09JVG3TWX,Amazon Echo Buds (newest model),"True Wireless Bluetooth 5.2 Earbuds with Alexa, audio personalization, multipoint, 20H battery with charging case, fast charging, sweat resistant",129.99,USD,Electronics,Amazon,https://m.media-amazon.com/images/I/411NxOSWI5L._AC_UY218_.jpg,in stock,new,https://www.amazon.com/dp/B09JVG3TWX,smart-device,alexa-enabled
B0D1XD1ZV3,Apple AirPods Pro 2 Wireless Earbuds,"Active Noise Cancellation, Hearing Aid Feature, Bluetooth Headphones, Transparency, Personalized Spatial Audio, High-Fidelity Sound, H2 Chip, USB-C Charging",249.99,USD,Electronics,Apple,https://m.media-amazon.com/images/I/61SUj2aKoEL._AC_UY218_.jpg,in stock,new,https://www.amazon.com/dp/B0D1XD1ZV3,premium,noise-cancelling
B0DGHMNQ5Z,Apple AirPods 4 Wireless Earbuds,"Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone",179.99,USD,Electronics,Apple,https://m.media-amazon.com/images/I/61iBtxCUabL._AC_UY218_.jpg,in stock,new,https://www.amazon.com/dp/B0DGHMNQ5Z,latest-model,water-resistant
