product_id,name,description,price,currency,category,brand,image_url,availability,condition
B0CM81J5W3,Universal 550W Mass Vital Blender,"Glass Jar 57 Oz/1.8 Quart/1.7 Liter - 7-cup, 2 Speed + Pulse Function and 4 Stainless Steel Blade with Chrome Steel Technology",32.99,USD,Kitchen & Dining,Universal,https://m.media-amazon.com/images/I/51OpK+34rXL._AC_UL320_.jpg,in stock,new
B00939I7EK,Ninja Mega Kitchen System,"1500W, 72 oz Full-Size Blender & 8-Cup Food Processor with 2x 16 oz To-Go Cups, Total Crushing Technology - Smoothies, Ice Crushing, Purees, Dough & More, Black",199.99,USD,Kitchen & Dining,Ninja,https://m.media-amazon.com/images/I/81WPPmP+4mL._AC_UY218_.jpg,in stock,new
B09B7SB46R,Emeril Lagasse Extra Large French Door Air Fryer,"Toaster Oven Combo, 24 Cooking Functions and Digital Controls, 7 Accessories Included, Stainless Steel Finish, 26QT Capacity",209.99,USD,Kitchen & Dining,Emeril Lagasse,https://m.media-amazon.com/images/I/818Y2wKBYSL._AC_UL320_.jpg,in stock,new
